age,type-of-employment,hours-worked,occupation,Degree,Years of education,Martial-status,Race,Sex,Native Country,income-80k+
26,Private,40,Logistics, Bachelors,16, Never-married, Asian-Pac-Islander, Male, ?,0
20,Private,29,Service, HS-grad,12, Never-married, White, Male, United-States,0
44,Private,40,Craft, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,0
51,Private,40,Logistics, HS-grad,12, Widowed, White, Male, United-States,0
33,Private,61,Sales, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
54,Private,40,Technical, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,1
50,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Female, United-States,1
33,Private,40,Admins, HS-grad,12, Divorced, Black, Female, United-States,0
65,Private,29,Admins, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
22,Private,19,Service, Some-college,13, Never-married, White, Female, United-States,0
88,Self-Employed,40,Professionals, Prof-school,18, Married-civ-spouse, White, Male, United-States,0
40,Private,40,Logistics, HS-grad,12, Divorced, White, Male, United-States,0
51,Private,40,Admins, HS-grad,12, Divorced, White, Female, United-States,0
50,Private,40,Service, 11th,10, Divorced, Black, Female, United-States,0
25,Private,61,Farming, Masters,17, Married-civ-spouse, White, Male, United-States,1
20,Private,39,Service, Assoc-voc,14, Never-married, White, Male, United-States,0
47,Private,40,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
58,Private,40,Service, Some-college,13, Married-civ-spouse, White, Male, United-States,1
22,Private,39,Admins, Assoc-voc,14, Never-married, White, Female, United-States,0
50,Government,40,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
47,Private,40,Admins, HS-grad,12, Never-married, White, Female, United-States,0
24,Government,40,Service, 11th,10, Never-married, Asian-Pac-Islander, Male, United-States,0
50,Private,40,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
40,Private,40,Professionals, Bachelors,16, Divorced, White, Female, United-States,1
36,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
32,Private,40,Admins, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
44,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
51,Private,40,Service, Masters,17, Married-civ-spouse, White, Male, United-States,0
59,Government,40,Professionals, Some-college,13, Never-married, Black, Female, United-States,0
65,Private,39,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
24,Government,61,Admins, Bachelors,16, Never-married, White, Female, United-States,0
27,Government,39,Professionals, Bachelors,16, Never-married, White, Male, United-States,0
51,Private,40,Service, Assoc-voc,14, Divorced, White, Male, United-States,0
48,Private,40,Craft, Some-college,13, Married-civ-spouse, White, Male, United-States,1
39,Private,61,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
28,Private,40,Technical, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
19,Private,29,Service, Some-college,13, Never-married, White, Female, United-States,0
49,Government,40,Professionals, Bachelors,16, Divorced, Black, Female, United-States,0
51,Government,61,Professionals, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,0
59,Private,59,Professionals, Masters,17, Married-civ-spouse, White, Male, United-States,0
18,Private,40,Technical, HS-grad,12, Never-married, White, Female, Dominican-Republic,0
50,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, ?,0
45,Government,61,Admins, HS-grad,12, Married-civ-spouse, Black, Male, United-States,1
30,Government,59,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
37,Private,39,Craft, Bachelors,16, Divorced, White, Male, United-States,0
44,Private,40,Service, Bachelors,16, Never-married, White, Male, United-States,1
33,Private,40,Craft, Some-college,13, Married-civ-spouse, Black, Male, United-States,0
61,Self-Employed,40,Sales, Masters,17, Married-civ-spouse, White, Male, United-States,1
61,Government,40,Security, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
38,Private,40,Sales, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
22,Private,39,Service, Some-college,13, Never-married, White, Male, United-States,0
36,Private,40,Technical, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
44,Self-Employed,61,Sales, Some-college,13, Married-civ-spouse, White, Male, United-States,1
37,Private,61,Admins, Some-college,13, Separated, White, Male, United-States,0
31,Private,29,Craft, Some-college,13, Divorced, White, Female, United-States,0
54,Private,40,Professionals, Doctorate,19, Married-civ-spouse, White, Male, United-States,1
20,Private,19,Service, Some-college,13, Never-married, White, Male, United-States,0
63,Private,40,Service, Bachelors,16, Widowed, White, Female, United-States,1
48,Self-Employed,40,Craft, Some-college,13, Married-civ-spouse, Amer-Indian-Eskimo, Male, United-States,1
33,Private,40,Service, HS-grad,12, Divorced, Asian-Pac-Islander, Female, China,0
31,Private,40,Professionals, Bachelors,16, Divorced, White, Male, United-States,0
38,Private,40,Professionals, Prof-school,18, Married-civ-spouse, White, Male, United-States,1
45,Self-Employed,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
48,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
53,Private,40,Craft, Some-college,13, Married-civ-spouse, White, Male, United-States,0
55,Private,40,Admins, HS-grad,12, Widowed, White, Female, United-States,0
38,Private,61,Logistics, Masters,17, Married-civ-spouse, White, Male, ?,1
29,Private,40,Admins, HS-grad,12, Never-married, White, Female, United-States,0
36,Private,61,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
42,Self-Employed,61,Farming, Some-college,13, Married-civ-spouse, White, Male, United-States,0
50,Private,40,Admins, HS-grad,12, Divorced, White, Female, England,0
75,Self-Employed,39,Professionals, Prof-school,18, Married-civ-spouse, White, Male, United-States,0
46,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
52,Government,40,Admins, HS-grad,12, Divorced, White, Female, United-States,0
27,Private,40,Admins, Bachelors,16, Never-married, White, Female, United-States,0
43,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
31,Private,40,Service, 11th,10, Separated, Black, Female, United-States,0
23,Private,39,Sales, Some-college,13, Never-married, White, Female, United-States,0
34,Private,29,Sales, HS-grad,12, Never-married, White, Female, United-States,0
41,Self-Employed,40,Sales, HS-grad,12, Married-civ-spouse, White, Female, Cuba,0
31,Private,39,Service, HS-grad,12, Never-married, White, Female, United-States,0
42,Private,40,Admins, Some-college,13, Never-married, White, Female, United-States,0
35,Private,40,Professionals, Masters,17, Never-married, White, Male, United-States,1
55,Private,29,Admins, HS-grad,12, Separated, White, Female, United-States,0
36,Government,40,Professionals, HS-grad,12, Widowed, White, Female, United-States,0
65,Self-Employed,59,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
38,Government,19,Service, Some-college,13, Never-married, White, Male, United-States,0
62,Private,29,Service, Some-college,13, Widowed, White, Female, United-States,0
54,Self-Employed,61,Professionals, Prof-school,18, Married-civ-spouse, White, Male, United-States,1
49,Private,40,Admins, HS-grad,12, Divorced, White, Male, United-States,0
34,Private,40,Admins, HS-grad,12, Married-civ-spouse, White, Female, United-States,0
32,Private,40,Service, HS-grad,12, Never-married, White, Female, United-States,0
51,Self-Employed,59,Professionals, Masters,17, Married-civ-spouse, White, Male, United-States,1
48,Self-Employed,61,Professionals, Some-college,13, Married-civ-spouse, White, Male, United-States,0
30,Private,40,Admins, HS-grad,12, Married-civ-spouse, White, Male, ?,0
52,Government,40,Admins, HS-grad,12, Divorced, White, Female, United-States,0
28,Self-Employed,40,Logistics, Some-college,13, Never-married, White, Male, United-States,0
29,Private,40,Craft, HS-grad,12, Married-civ-spouse, Asian-Pac-Islander, Male, United-States,0
38,Private,59,Admins, Bachelors,16, Never-married, White, Female, United-States,0
57,Private,59,Sales, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
43,Government,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
37,Government,40,Admins, Some-college,13, Separated, White, Male, United-States,0
30,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
53,Private,40,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
69,Private,19,Service, Assoc-voc,14, Widowed, White, Female, United-States,0
73,Private,39,Service, HS-grad,12, Widowed, White, Female, United-States,0
22,Self-Employed,39,Craft, Some-college,13, Never-married, White, Male, United-States,0
31,Private,40,Sales, HS-grad,12, Never-married, White, Female, United-States,0
38,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
50,Self-Employed,39,Craft, Some-college,13, Married-civ-spouse, White, Male, United-States,0
37,Private,39,Admins, Some-college,13, Married-civ-spouse, White, Male, United-States,0
44,Government,40,Security, Bachelors,16, Divorced, White, Male, United-States,0
47,Private,40,Professionals, Bachelors,16, Never-married, Black, Female, United-States,0
27,Private,40,Service, Some-college,13, Married-civ-spouse, White, Male, United-States,0
28,Private,61,Service, Assoc-acdm,15, Never-married, White, Female, United-States,0
25,Private,40,Technical, HS-grad,12, Never-married, Black, Female, United-States,0
20,Private,40,Service, Some-college,13, Never-married, White, Female, United-States,0
51,Government,40,Admins, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
46,Private,40,Sales, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
67,Private,19,Security, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
47,Private,39,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
42,Private,40,Sales, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
52,Private,59,Sales, HS-grad,12, Never-married, White, Male, United-States,0
42,Government,40,Professionals, Assoc-acdm,15, Divorced, Asian-Pac-Islander, Female, Philippines,1
65,Private,40,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
21,Private,19,Farming, Some-college,13, Never-married, Black, Male, United-States,0
50,Private,40,Admins, HS-grad,12, Married-civ-spouse, White, Female, United-States,1
46,Private,40,Logistics, Some-college,13, Married-civ-spouse, White, Male, United-States,0
47,Self-Employed,59,Sales, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
57,Private,40,Service, 10th,9, Married-civ-spouse, White, Male, United-States,0
37,Private,40,Professionals, Bachelors,16, Never-married, White, Male, United-States,0
50,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
58,Private,40,Service, 12th,11, Married-civ-spouse, White, Male, United-States,0
63,Self-Employed,39,Service, 1st-4th,5, Widowed, White, Female, El-Salvador,0
39,Private,61,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
46,Private,39,Professionals, Masters,17, Married-civ-spouse, Black, Male, United-States,0
36,Private,40,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
26,Private,59,Craft, 5th-6th,6, Married-civ-spouse, White, Male, United-States,0
21,Private,59,Service, Some-college,13, Never-married, White, Male, United-States,0
41,Private,40,Technical, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,0
44,Government,40,Service, Some-college,13, Never-married, Black, Male, United-States,0
22,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
29,Government,61,Security, Some-college,13, Never-married, Black, Male, United-States,0
29,Private,40,Service, HS-grad,12, Never-married, Black, Female, Japan,0
58,Self-Employed,40,Logistics, Some-college,13, Married-civ-spouse, White, Female, United-States,1
36,Self-Employed,59,Professionals, Prof-school,18, Married-civ-spouse, White, Male, United-States,0
30,Private,40,Professionals, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,0
37,Private,40,Technical, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
29,Private,40,Technical, Assoc-voc,14, Never-married, White, Male, United-States,0
26,Private,40,Admins, 5th-6th,6, Never-married, White, Female, Mexico,0
43,Private,40,Sales, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
49,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Female, United-States,1
45,Government,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
28,Private,40,Professionals, Bachelors,16, Never-married, White, Female, United-States,0
20,Private,29,Service, Some-college,13, Never-married, White, Female, United-States,0
51,Private,40,Admins, HS-grad,12, Divorced, White, Female, United-States,0
32,Private,59,Service, Some-college,13, Married-civ-spouse, White, Male, Canada,1
24,Private,40,Technical, HS-grad,12, Never-married, White, Female, United-States,0
35,Private,40,Professionals, Doctorate,19, Married-civ-spouse, White, Male, United-States,1
35,Private,59,Service, Assoc-acdm,15, Never-married, White, Male, United-States,0
41,Government,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
48,Private,40,Craft, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
61,Government,39,Admins, HS-grad,12, Widowed, White, Female, United-States,0
20,Private,39,Admins, Some-college,13, Never-married, White, Male, United-States,0
27,Private,59,Sales, HS-grad,12, Never-married, White, Male, United-States,1
55,Private,29,Logistics, Some-college,13, Married-civ-spouse, White, Male, United-States,1
39,Private,40,Admins, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
17,Private,29,Service, 10th,9, Never-married, White, Male, United-States,0
47,Private,40,Service, HS-grad,12, Married-civ-spouse, White, Male, ?,0
52,Private,40,Service, HS-grad,12, Widowed, Asian-Pac-Islander, Female, India,1
24,Private,29,Sales, HS-grad,12, Never-married, Black, Female, United-States,0
29,Private,40,Service, 11th,10, Never-married, Black, Female, United-States,0
25,Private,40,Technical, HS-grad,12, Never-married, White, Male, United-States,0
20,Private,40,Technical, Some-college,13, Never-married, White, Female, United-States,0
23,Private,39,Technical, HS-grad,12, Never-married, Black, Male, United-States,0
57,Private,61,Professionals, Prof-school,18, Married-civ-spouse, White, Male, United-States,0
51,Private,40,Professionals, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,1
33,Private,19,Professionals, Some-college,13, Never-married, White, Female, United-States,0
39,Private,40,Professionals, Bachelors,16, Never-married, White, Male, United-States,0
40,Private,40,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
71,Private,19,Technical, Bachelors,16, Divorced, White, Female, United-States,0
38,Government,40,Professionals, Some-college,13, Married-civ-spouse, White, Male, United-States,0
28,Government,40,Professionals, Prof-school,18, Never-married, White, Male, United-States,0
57,Private,40,Professionals, Masters,17, Married-spouse-absent, White, Female, United-States,0
47,Private,40,Admins, Some-college,13, Divorced, White, Male, United-States,0
59,Government,40,Admins, HS-grad,12, Never-married, White, Male, United-States,0
26,Private,40,Sales, HS-grad,12, Never-married, Other, Male, United-States,0
35,Private,40,Admins, Bachelors,16, Never-married, White, Female, United-States,0
61,Self-Employed,59,Professionals, Bachelors,16, Married-civ-spouse, White, Male, Germany,1
17,Private,39,Service, 11th,10, Never-married, White, Female, United-States,0
36,Private,61,Professionals, Bachelors,16, Married-civ-spouse, Asian-Pac-Islander, Male, ?,1
62,Private,59,Service, 7th-8th,7, Married-civ-spouse, White, Male, United-States,0
34,Private,59,Professionals, Some-college,13, Never-married, White, Male, United-States,1
32,Self-Employed,59,Craft, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
42,Private,40,Sales, HS-grad,12, Separated, White, Female, United-States,0
39,Private,40,Craft, Some-college,13, Married-civ-spouse, White, Male, United-States,0
58,Private,40,Technical, 5th-6th,6, Divorced, Black, Male, United-States,0
61,Self-Employed,61,Farming, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
40,Private,59,Craft, 10th,9, Never-married, Black, Male, United-States,0
31,Private,39,Technical, Bachelors,16, Never-married, White, Male, United-States,0
36,Private,59,Sales, HS-grad,12, Never-married, White, Male, United-States,0
23,Private,40,Technical, Some-college,13, Never-married, White, Male, United-States,0
33,Private,40,Craft, HS-grad,12, Never-married, White, Male, United-States,0
52,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
22,Private,29,Service, HS-grad,12, Never-married, White, Female, United-States,0
51,Private,40,Sales, Some-college,13, Divorced, White, Female, Italy,0
31,Government,40,Professionals, Assoc-voc,14, Never-married, White, Female, United-States,0
49,Self-Employed,40,Professionals, HS-grad,12, Divorced, White, Female, United-States,0
49,Private,40,Technical, HS-grad,12, Married-civ-spouse, Black, Female, United-States,0
53,Government,40,Admins, Some-college,13, Widowed, Black, Female, United-States,0
52,Private,40,Professionals, HS-grad,12, Married-civ-spouse, Asian-Pac-Islander, Male, Japan,1
20,Private,40,Service, 10th,9, Never-married, White, Male, United-States,0
26,Private,40,Service, Assoc-acdm,15, Never-married, Black, Male, United-States,0
61,Private,19,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
43,Private,39,Service, Masters,17, Never-married, White, Female, Poland,0
46,Self-Employed,59,Sales, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
43,Government,39,Admins, Assoc-voc,14, Never-married, White, Female, United-States,0
41,Private,40,Sales, HS-grad,12, Divorced, Black, Female, United-States,0
44,Self-Employed,59,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
54,Private,40,Farming, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
65,Private,40,Sales, Masters,17, Married-civ-spouse, White, Male, United-States,1
32,Private,40,Professionals, Bachelors,16, Divorced, White, Female, Canada,0
25,Private,40,Admins, Some-college,13, Separated, White, Male, United-States,0
23,Private,59,Sales, Bachelors,16, Never-married, White, Male, United-States,0
25,Government,40,Professionals, Bachelors,16, Never-married, White, Male, United-States,0
19,Private,59,Service, Some-college,13, Never-married, White, Male, United-States,0
37,Self-Employed,61,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
45,Private,40,Technical, Some-college,13, Never-married, White, Male, United-States,0
37,Private,40,Sales, HS-grad,12, Never-married, Black, Male, United-States,0
40,Self-Employed,61,Professionals, Some-college,13, Divorced, White, Male, Iran,1
19,Private,40,Service, Some-college,13, Never-married, White, Male, United-States,0
17,Private,19,Service, 11th,10, Never-married, White, Male, United-States,0
27,Private,40,Technical, Bachelors,16, Never-married, White, Female, United-States,0
40,Government,40,Craft, 7th-8th,7, Married-civ-spouse, Black, Male, ?,1
59,Private,39,Sales, HS-grad,12, Divorced, White, Female, United-States,0
19,Government,40,Admins, HS-grad,12, Never-married, Black, Female, United-States,0
43,Private,40,Technical, 10th,9, Never-married, Black, Male, United-States,0
42,Private,40,Logistics, 10th,9, Never-married, White, Male, United-States,1
54,Private,40,Logistics, HS-grad,12, Married-civ-spouse, Black, Male, United-States,0
54,Self-Employed,59,Sales, Masters,17, Married-civ-spouse, White, Male, United-States,0
51,Private,40,Service, 10th,9, Married-civ-spouse, White, Male, United-States,0
50,Private,61,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
40,Private,40,Admins, HS-grad,12, Never-married, White, Female, United-States,0
55,Private,29,Technical, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,0
50,Private,40,Admins, HS-grad,12, Divorced, White, Female, United-States,0
31,Private,59,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
42,Private,39,Service, HS-grad,12, Divorced, Black, Female, United-States,0
24,Private,40,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
30,Private,40,Sales, 11th,10, Divorced, White, Male, United-States,0
39,Government,59,Craft, Assoc-acdm,15, Married-civ-spouse, White, Female, United-States,1
37,Private,59,Logistics, HS-grad,12, Divorced, White, Male, United-States,0
33,Private,40,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
48,Private,40,Service, HS-grad,12, Widowed, White, Female, United-States,0
43,Self-Employed,61,Service, HS-grad,12, Married-civ-spouse, Asian-Pac-Islander, Male, Thailand,0
39,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
53,Private,40,Professionals, Some-college,13, Married-civ-spouse, White, Male, United-States,1
52,Self-Employed,61,Professionals, 10th,9, Married-civ-spouse, White, Male, United-States,0
28,Government,29,Admins, Some-college,13, Married-civ-spouse, Asian-Pac-Islander, Male, United-States,0
32,Private,59,Service, HS-grad,12, Never-married, White, Male, United-States,0
31,Private,61,Sales, Bachelors,16, Married-civ-spouse, Black, Male, United-States,1
31,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Female, United-States,1
47,Private,40,Admins, Some-college,13, Never-married, White, Female, United-States,0
19,Private,59,Service, Some-college,13, Never-married, White, Male, United-States,0
40,Private,40,Service, Assoc-voc,14, Married-civ-spouse, Black, Male, United-States,0
40,Private,40,Admins, Assoc-acdm,15, Never-married, White, Female, United-States,0
41,Private,40,Service, 11th,10, Divorced, White, Male, United-States,0
53,Government,40,Admins, HS-grad,12, Married-civ-spouse, Black, Male, United-States,0
46,Private,40,Technical, 11th,10, Divorced, Amer-Indian-Eskimo, Male, Germany,0
45,Self-Employed,39,Farming, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
39,Private,39,Service, 9th,8, Married-civ-spouse, Black, Female, United-States,0
19,Private,40,Technical, HS-grad,12, Never-married, White, Male, United-States,0
57,Private,40,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
49,Private,40,Technical, Assoc-voc,14, Married-civ-spouse, White, Female, Peru,0
59,Private,40,Professionals, HS-grad,12, Divorced, White, Female, United-States,0
32,Private,59,Sales, Assoc-voc,14, Divorced, White, Male, United-States,1
18,Private,19,Service, Some-college,13, Never-married, White, Female, United-States,0
35,Government,40,Security, Some-college,13, Never-married, Black, Male, United-States,0
58,Self-Employed,40,Logistics, 10th,9, Married-civ-spouse, White, Female, United-States,0
28,Private,40,Service, Bachelors,16, Never-married, White, Male, Mexico,0
36,Government,40,Admins, Assoc-acdm,15, Married-civ-spouse, White, Female, United-States,1
41,Self-Employed,39,Professionals, Masters,17, Divorced, White, Female, United-States,0
47,Private,40,Sales, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
50,Self-Employed,61,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
61,Private,19,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
36,Private,59,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
38,Private,40,Craft, Assoc-voc,14, Divorced, White, Male, United-States,0
56,Self-Employed,61,Service, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
50,Private,40,Logistics, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,0
45,Self-Employed,40,Sales, Some-college,13, Married-civ-spouse, White, Male, United-States,0
44,Self-Employed,61,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
51,Private,40,Professionals, Some-college,13, Married-civ-spouse, White, Male, United-States,1
44,Self-Employed,59,Professionals, Some-college,13, Married-civ-spouse, White, Male, United-States,1
25,Private,59,Craft, HS-grad,12, Divorced, White, Male, United-States,0
60,Private,40,Logistics, 11th,10, Widowed, Black, Male, United-States,0
17,Private,39,Service, 10th,9, Never-married, White, Male, United-States,0
49,Self-Employed,59,Professionals, Masters,17, Married-civ-spouse, White, Male, United-States,1
46,Private,61,Craft, HS-grad,12, Married-civ-spouse, Black, Male, United-States,1
56,Private,39,Admins, HS-grad,12, Widowed, Black, Female, United-States,0
25,Private,40,Craft, HS-grad,12, Divorced, White, Male, United-States,0
22,Private,40,Logistics, Some-college,13, Never-married, White, Male, United-States,0
76,Private,19,Service, HS-grad,12, Widowed, Black, Female, United-States,0
41,Self-Employed,61,Professionals, Prof-school,18, Married-civ-spouse, White, Male, United-States,1
48,Self-Employed,40,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
46,Private,40,Technical, 10th,9, Never-married, Black, Male, United-States,0
30,Private,40,Craft, Some-college,13, Never-married, White, Male, United-States,1
39,Private,40,Logistics, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
40,Private,40,Craft, 10th,9, Divorced, Amer-Indian-Eskimo, Male, United-States,0
70,Government,40,Admins, HS-grad,12, Married-civ-spouse, Black, Male, United-States,0
35,Private,40,Craft, Some-college,13, Married-civ-spouse, White, Male, United-States,0
49,Private,61,Professionals, Masters,17, Divorced, White, Female, United-States,0
24,Private,61,Security, Assoc-voc,14, Never-married, White, Male, United-States,0
40,Private,39,Professionals, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,1
61,Private,19,Logistics, Prof-school,18, Married-civ-spouse, White, Male, United-States,1
25,Private,40,Professionals, Bachelors,16, Never-married, Asian-Pac-Islander, Male, United-States,0
28,Government,40,Professionals, Bachelors,16, Never-married, White, Female, United-States,0
69,Government,19,Professionals, Masters,17, Married-civ-spouse, White, Male, United-States,0
22,Private,39,Service, Some-college,13, Never-married, White, Female, United-States,0
47,Private,39,Admins, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
38,Private,40,Service, HS-grad,12, Divorced, White, Female, United-States,0
26,Private,40,Admins, Assoc-voc,14, Never-married, White, Female, United-States,0
17,Private,29,Admins, 11th,10, Never-married, Asian-Pac-Islander, Female, United-States,0
33,Self-Employed,39,Service, Some-college,13, Never-married, White, Male, United-States,0
43,Self-Employed,40,Craft, HS-grad,12, Married-spouse-absent, White, Male, United-States,0
58,Private,40,Craft, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,1
53,Self-Employed,40,Sales, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
26,Private,29,Craft, HS-grad,12, Never-married, White, Male, United-States,0
43,Government,40,Professionals, Bachelors,16, Married-civ-spouse, Black, Male, United-States,1
31,Private,40,Farming, 10th,9, Married-civ-spouse, White, Male, Mexico,0
30,Private,40,Admins, HS-grad,12, Never-married, White, Male, United-States,0
25,Private,29,Service, HS-grad,12, Never-married, White, Female, United-States,0
57,Government,40,Admins, HS-grad,12, Divorced, White, Female, United-States,0
37,Private,61,Professionals, Masters,17, Divorced, White, Male, United-States,1
32,Private,40,Sales, Some-college,13, Married-civ-spouse, White, Male, United-States,0
26,Private,40,Professionals, HS-grad,12, Divorced, White, Female, United-States,0
45,Private,40,Admins, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
53,Government,39,Admins, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
27,Private,40,Service, HS-grad,12, Never-married, Amer-Indian-Eskimo, Male, United-States,0
28,Self-Employed,59,Craft, 11th,10, Married-civ-spouse, White, Male, United-States,1
32,Private,40,Sales, 11th,10, Divorced, White, Male, United-States,1
35,Private,61,Sales, Bachelors,16, Divorced, White, Female, United-States,0
36,Self-Employed,59,Professionals, Some-college,13, Married-civ-spouse, White, Male, United-States,1
19,Private,40,Admins, Some-college,13, Never-married, White, Male, United-States,0
37,Self-Employed,61,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
49,Private,40,Technical, Some-college,13, Divorced, White, Male, United-States,0
20,Private,40,Service, Some-college,13, Never-married, White, Male, United-States,0
64,Self-Employed,59,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
60,Private,40,Service, Masters,17, Married-civ-spouse, White, Male, United-States,0
32,Private,40,Craft, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,0
58,Government,40,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
42,Private,59,Sales, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
20,Private,19,Admins, Some-college,13, Never-married, Black, Female, United-States,0
42,Government,40,Admins, Some-college,13, Married-civ-spouse, Black, Male, United-States,0
25,Private,40,Professionals, Some-college,13, Married-spouse-absent, Black, Male, United-States,0
30,Self-Employed,61,Professionals, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,1
37,Self-Employed,39,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
66,Self-Employed,59,Professionals, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,0
59,Self-Employed,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, England,1
44,Private,40,Service, Bachelors,16, Divorced, Asian-Pac-Islander, Male, China,0
46,Private,59,Admins, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
59,Private,39,Admins, Bachelors,16, Married-civ-spouse, White, Female, United-States,0
25,Private,40,Professionals, Bachelors,16, Never-married, White, Male, United-States,0
17,Government,19,Service, 9th,8, Never-married, Black, Male, United-States,0
